Mã,P (Person),A (Action),O (Object),Q (Quote/Sound)
00,Shaggy,Vuốt Ve đầu,Con Chó,"""Scooby-Doo!"" (tiếng gâu gâu)"
01,Lão Tử,Cưỡi phi nước đại,Con Trâu,"""Biết đủ là đủ, biết đủ không nhục"" (tiếng bò rống ngộ nghĩnh)"
02,Sonic,Nhổ Lông đuôi,Con Nhím,"""Gotta go fast!"" (âm thanh thu thập vòng vàng)"
03,Thuyền Trưởng Jack Sparrow,Hơ Nướng,Con Mực,"""Savvy?"" (tiếng Kraken gầm)"
04,Voldemort,Thôi Miên,Con Rắn,"""Avada Kedavra"" (tiếng rắn rít Xà Ngữ)"
05,Chú Crocodile,Vật Ngã,Cá Sấu,""Shame"" (tiếng nện xuống thảm rầm rầm)"
06,Thor,Đập,Cái Búa,"""Bring me Thanos!"" (sấm sét ầm ầm)"
07,Albert Einstein,Viết,Cục Phấn,"""E=mc2"" (tiếng lạch cạch viết bảng)"
08,Trư Bát Giới,Mổ bụng,Con Heo,"""Đại sư huynh!"" (tiếng ủn ỉn)"
09,Wall-E,Dẫm lên,Con Gián,"""Waaall-E"" (âm thanh máy móc)"
10,Angry Birds (Red),Ấp,Tổ Chim,"""Hee-yah!"" (tiếng ná cao su ném)"
11,Caesar (Planet of the Apes),Gãi lưng,Tinh Tinh," ""Ape not kill ape.""  -Giọng nói trầm đục (Guttural Voice): ""Ape... not... kill... ape."" "
12,Freddy Krueger,Đè xuống,Tấm Nệm,"""One, two, Freddy's coming for you"" (tiếng móng sắt cào rách vải) "
13,Captain America,Cạy cửa,Thang Máy,"""Before we get started, does anyone want to get out?"" (tiếng kính vỡ)"
14,Vulture (Spiderman),Đổ đầy,Túi Rác,"""The world's changing. It's time we change too."" -Tiếng đổ phế liệu (Clattering): ""Rầm... loảng xoảng... keng!"""
15,Vincent van Gogh,Cầm cọ khuấy mạnh,Thùng Sơn,"""Nghệ thuật là nỗi đau"" (tiếng cọ quệt)"
16,Dora Khám Phá,Đeo trước ngực,Túi Balo,"""Balo Balo!"" (nhạc Dora)"
17,Star-Lord (Guardians of the Galaxy),Bịt tai,Tai Phôn,"""Hey (hey) What's the matter with your head? yeah..."" tiếng nhạc"
18,Harry Potter,giật dây còi,Tàu Hỏa,"""Hogwarts Express!"" (tiếng còi tàu tu tu)"
19,Rhino,Húc,Tê Giác,"I am the Rhino!" (Ta là Tê giác!)
20,Walter White (Heisenberg),Chưng cất,Nước Cất,"""I am the danger!"" (tiếng dung dịch đun sôi sục sục)"
21,Superman,Bay ra khỏi,Nhà Tù,"""Up, up and away!"" (tiếng gạch đá vỡ uỳnh uỳnh) "
