Số Mã Hóa,MY PAO SYSTEM,,
,P (Person),A (Action),O (Object)
00,Con Cao,Vuốt Ve,Con Chó
01,Bố Chí,Cưỡi phi nước đại,Con Trâu
02,U Cẩm,Nhổ Lông,Con Nhím
03,chị Chanh,Nướng,Con Mực
04,Cháu Chi,Thôi Miên,Con Rắn
05,Chị Cát,Vật Ngã,Cá Sấu
06,em Cúc,Đập,Cái Búa
07,anh Chung dạy English,Viết,Cục Phấn
08,Cháu Châu,Tắm ,Con Heo
09,Bạn Cường Quý,Dẫm lên,Con Gián
10,Bố Thịnh,Ấp,Tổ Chim
11,Cháu Tôn,Gãi,Tinh Tinh
12,Giám Đốc Tâm,Nằm đè,Tấm Nệm
13,chị Trang,Cạy cửa,Thang Máy
14,chị Thùy,Đổ đầy,Túi Rác
15,chú Thái,khuấy,Thùng Sơn
16,anh Tuấn The Zei,Đeo,Túi Balo
17,em Thành kỹ thuật,Bịt tai,Tai Phôn
18,Thế Anh kỹ sư,giật còi,Tàu Hỏa
19,ông Trương,Húc,Tê Giác
20,Con Ngọc,Hứng từng giọt,Nước Cất
21,anh Nam,Bay ra khỏi,Nhà Tù
22,cháu Nhất,Bắn tơ,Người Nhện
23,chị Nương,Chấm,Nước Mắm
24,cậu Nguyên,Hái,Nấm Rơm
25,chị Kim Nhung,Ngậm mãi,Nhân Sâm
26,chị Nga đồng tu,Dâng,Nhẫn Bạc
27,cháu Ninh,Ném,Nổ Pháo
28,anh Ngôn,Tiêm,Nghiện Hút
29,Chú Nghiêm toản,Đẩy xe lăn,Người già
30,bá Mạo,bấm cắt,Móng Chân
31,anh Minh công ty,Xoay ốc,Máy Tính
32,bà Mưu,ngoáy tai,Màng Nhĩ
33,em Mạnh đồng tu,Moi,Móc Mắt
34,Mẹ Xuân,Che,Mưa Rào
35,anh May,Uốn cong,Móc Sắt
36,Cháu Mai,Lái,Máy Bay
37,ông Món,xả súng,Ma Phia
38,bạn My,Liếm,Màn Hình
39,Tam Mao TV,Chui,Máy Giặt
40,Cháu Đễ (chồng Dung),Cưa qua lại,Răng Cưa
41,Bá Đông,Đan,Rổ Tre
42,anh Dương,Nhồi,Ruột Non
43,Cô Duy,Rắc đều,Rắc Muối
44,cháu Dũng,Đu,Ròng Rọc
45,Bác Dị,Múa,Rồng Sắt (gậy)
46,anh Đăng,Lắp Ráp,Rô Bốt
47,em Đoàn,giăng lưới,Rô Phi
48,Cháu Dung,Buộc,Rau Hẹ
49,Anh Đạt,Vặn Ga,Rồ Ga
50,Snoop Dog,Hút,Sữa Chua
51,chị Sinh,Quất Roi,Sư Tử
52,Đoàn Văn Sáng,Hôn má,Sọ Người
53,Stephen Hawking,Khâu,Sứt môi
54,ca sĩ Siu black,Ngửi,Sầu Riêng
55,chị Sợi,Gọt vỏ,Su Su
56,Pak Hang SEO,Lướt sóng,Sóng Biển
57,em Sỏi địa chính,Sạc điện,Sạc Pin
